instance,repetition,algorithm,best fitness,elapsed time in secs,pop size,trunc size
N-be75eec_150,45815,PLEDA,3357768.000,16639.756,1500,300
N-be75eec,6715205,PLEDA,234324.000,519.442,500,100
N-stabu1_250,5513701,PLEDA,7255254.000,58902.092,250,50
N-stabu70,8810105,PLEDA,358065.000,1372.831,6000,1200
N-be75eec,529182,PLEDA,233134.000,534.514,5000,1000
N-t59b11xx,649035,PLEDA,206030.000,61.239,44,8
N-t59b11xx,412312,PLEDA,208360.000,589.548,440,132
N-be75eec_150,8318058,PLEDA,3307188.000,18059.191,150,45
N-stabu70,288117,PLEDA,352797.000,173.264,60,12
N-t59b11xx,449035,PLEDA,208145.000,540.742,4400,1320
N-stabu70,6813335,PLEDA,358487.000,2076.902,600,180
N-be75eec_150,482115,PLEDA,3329420.000,38687.746,150,75
N-be75eec_150,6522000,PLEDA,3272276.000,9774.539,150,45
N-stabu70,1014263,PLEDA,352757.000,140.892,60,12
N-stabu1_250,3815558,PLEDA,7327628.000,88091.149,250,75
N-be75eec_150,4212560,PLEDA,3330244.000,73774.339,1500,750
N-stabu1_250,7131841,PLEDA,7454050.000,224417.376,25000,7500
N-be75eec,419810,PLEDA,233869.000,585.870,500,100
N-stabu1_250,6815753,PLEDA,7439903.000,161385.103,2500,750
N-stabu70,1823714,PLEDA,357769.000,2446.519,6000,3000
N-stabu1_250,5816523,PLEDA,7479885.000,256676.406,2500,500
N-stabu70,9022201,PLEDA,357737.000,4802.160,6000,3000
N-be75eec,3612834,PLEDA,233120.000,2253.654,5000,2500
N-t59b11xx,2312502,PLEDA,209130.000,900.648,440,132
N-stabu70,4521107,PLEDA,358084.000,2543.120,6000,3000
N-stabu1_250,1515674,PLEDA,7470411.000,265935.333,2500,1250
N-be75eec_150,5130129,PLEDA,3344669.000,44690.736,1500,750
N-t59b11xx,7129253,PLEDA,208145.000,543.273,4400,1320
N-stabu1_250,3519412,PLEDA,7446770.000,191580.554,25000,7500
N-stabu1_250,1923667,PLEDA,7246877.000,59302.079,250,50
N-be75eec_150,57517,PLEDA,3329744.000,45840.631,1500,450
N-stabu1_250,1010445,PLEDA,7258535.000,33014.504,250,50
N-be75eec,6829527,PLEDA,233346.000,1347.353,500,150
N-stabu1_250,254101,PLEDA,7428488.000,290331.508,25000,5000
N-stabu70,2726084,PLEDA,358099.000,2527.684,6000,3000
N-stabu70,4713710,PLEDA,355357.000,675.898,60,18
N-t59b11xx,451960,PLEDA,208145.000,902.807,4400,2200
N-be75eec,714621,PLEDA,233252.000,556.178,5000,1000
N-be75eec,118160,PLEDA,233766.000,229.436,50,15
N-be75eec_150,717309,PLEDA,3338652.000,38733.213,15000,4500
N-stabu70,8820256,PLEDA,358012.000,973.014,6000,1200
N-be75eec,5511914,PLEDA,233744.000,82.691,50,10
N-t59b11xx,3224602,PLEDA,209035.000,588.410,440,132
N-stabu70,6719467,PLEDA,358648.000,981.051,600,120
N-stabu1_250,8730108,PLEDA,7460340.000,253827.682,2500,1250
N-stabu70,235070,PLEDA,357903.000,1298.550,600,180
N-stabu70,8024961,PLEDA,357517.000,2476.893,6000,1800
N-be75eec,7718384,PLEDA,232709.000,887.259,500,150
N-be75eec_150,211937,PLEDA,3287234.000,39045.703,150,75
N-stabu70,7710161,PLEDA,358051.000,1461.226,600,180
N-stabu70,6910809,PLEDA,358658.000,2383.926,600,300
N-be75eec,4319416,PLEDA,233123.000,848.508,5000,1000
N-t59b11xx,493448,PLEDA,208345.000,392.915,440,88
N-stabu70,526867,PLEDA,357803.000,967.996,6000,1200
N-be75eec,5624314,PLEDA,230512.000,250.226,50,15
N-be75eec,6022780,PLEDA,233187.000,1456.805,500,250
N-be75eec,8016258,PLEDA,233119.000,1363.968,5000,1500
N-be75eec_150,6212485,PLEDA,3339973.000,37299.343,15000,4500
N-be75eec_150,879814,PLEDA,3341245.000,43839.630,1500,750
N-t59b11xx,2530577,PLEDA,208115.000,606.897,4400,880
N-stabu70,8118295,PLEDA,358218.000,2874.533,6000,3000
N-be75eec,8928483,PLEDA,233101.000,1437.737,5000,1500
N-be75eec_150,531051,PLEDA,3338911.000,26064.265,1500,450
N-be75eec_150,112353,PLEDA,3266964.000,16964.427,150,45
N-stabu1_250,2316127,PLEDA,7434607.000,229750.989,2500,750
N-stabu70,866595,PLEDA,356613.000,1458.910,600,180
N-stabu1_250,2212439,PLEDA,7456997.000,277642.516,2500,500
N-t59b11xx,514679,PLEDA,209035.000,908.205,440,132
N-stabu1_250,911062,PLEDA,7433384.000,299774.334,25000,12500
N-stabu70,516619,PLEDA,356794.000,2037.988,600,180
