,instance,repetition,algorithm,lambda,alpha,best fitness,evals,elapsed time in secs
535,N-be75eec,3,PL,10000,0.9,233301,2326146,22.372
538,N-stabu70,6,PL,10,0.001,356770,3411553,39.98
539,N-stabu70,9,PL,10,0.01,358995,2381310,34.128
540,N-be75eec,7,PL,10000,0.9,233223,2465889,16.816
542,N-stabu70,4,PL,10,0.001,356718,3373684,28.328
544,N-stabu70,2,PL,10,0.001,356713,3429168,28.67
550,N-stabu70,9,PL,10,0.1,359479,1116530,28.689
552,N-stabu70,6,PL,10,0.01,359444,3401859,29.297
554,N-be75eec,6,PL,10000,0.9,233250,2463710,26.122
556,N-stabu70,9,PL,10,0.05,359928,3155955,36.447
558,N-be75eec,10,PL,10000,0.9,233294,1983719,18.991
559,N-stabu70,9,PL,10,0.5,360273,1648078,26.918
562,N-stabu70,8,PL,10,0.001,356863,3351209,28.455
563,N-stabu70,7,PL,10,0.9,358649,2122045,28.741
564,N-stabu70,1,PL,10,0.01,357468,2434830,41.301
565,N-stabu70,2,PL,10,0.01,359892,3073936,27.342
566,N-stabu70,8,PL,10,0.05,359309,3189896,40.877
568,N-stabu70,4,PL,10,0.75,358652,1356521,29.766
571,N-stabu70,2,PL,10,0.9,358583,2506863,29.927
573,N-stabu70,1,PL,10,0.9,359343,1849221,26.945
574,N-stabu70,5,PL,100,0.01,357906,3518262,27.694
575,N-stabu70,4,PL,10,0.5,358855,3329222,34.632
576,N-stabu70,6,PL,10,0.5,359085,1118299,29.103
579,N-stabu70,3,PL,10,0.9,358555,2858322,29.491
580,N-stabu70,4,PL,100,0.05,359255,2073083,26.615
582,N-stabu70,9,PL,100,0.001,348850,3567264,32.874
584,N-stabu70,6,PL,10,0.05,359366,2200225,29.053
585,N-stabu70,10,PL,10,0.9,358323,2942313,38.435
586,N-stabu70,2,PL,10,0.75,358933,3422044,26.954
588,N-stabu70,8,PL,10,0.1,359426,999144,26.889
589,N-stabu70,10,PL,100,0.001,348370,3104401,27.094
590,N-stabu70,7,PL,10,0.1,359629,3410762,42.98
591,N-stabu70,1,PL,10,0.1,360530,1828564,28.936
592,N-stabu70,3,PL,10,0.01,359107,2892181,27.048
594,N-stabu70,4,PL,100,0.001,348295,3507331,33.996
595,N-stabu70,1,PL,10,0.75,359268,2070438,40.76
596,N-stabu70,2,PL,10,0.5,359647,1958621,45.756
597,N-stabu70,10,PL,10,0.5,359524,2393580,27.535
598,N-stabu70,8,PL,10,0.01,357691,1577857,43.168
599,N-stabu70,2,PL,100,0.05,359118,3338555,28.067
600,N-stabu70,1,PL,10,0.05,358562,1996736,45.706
601,N-stabu70,7,PL,10,0.5,359729,2587506,43.397
602,N-stabu70,1,PL,10,0.001,356673,3553140,43.382
603,N-stabu70,5,PL,10,0.01,359435,3559059,45.309
604,N-stabu70,1,PL,100,0.5,359398,2624828,24.644
605,N-stabu70,8,PL,100,0.01,357981,2958906,38.897
606,N-stabu70,7,PL,10,0.001,357491,3388512,41.534
607,N-stabu70,4,PL,100,0.5,359608,3159683,27.386
608,N-stabu70,7,PL,10,0.05,359187,2964158,45.92
609,N-stabu70,4,PL,10,0.01,359055,3528361,32.758
610,N-stabu70,5,PL,100,0.75,359539,3570852,24.538
611,N-stabu70,3,PL,10,0.1,359581,352536,30.035
612,N-stabu70,3,PL,10,0.001,357595,3513336,37.298
613,N-stabu70,4,PL,10,0.9,358202,629473,39.111
614,N-stabu70,3,PL,10,0.75,359054,2365412,36.44
615,N-stabu70,10,PL,10,0.05,359538,2306480,35.176
616,N-stabu70,5,PL,100,0.5,359557,3338989,29.805
617,N-stabu70,5,PL,100,0.001,348197,3173996,26.008
618,N-stabu70,2,PL,10,0.05,359497,3495470,42.299
619,N-stabu70,5,PL,10,0.001,356765,3527020,45.724
620,N-stabu70,5,PL,10,0.05,360132,3097027,42.311
621,N-stabu70,9,PL,100,0.01,357988,3577405,42.117
622,N-stabu70,3,PL,100,0.01,357969,3423562,37.478
623,N-stabu70,4,PL,10,0.05,360214,2404235,44.272
625,N-stabu70,3,PL,10,0.05,359493,2377188,43.307
626,N-stabu70,1,PL,100,0.05,358928,1475346,36.191
627,N-stabu70,5,PL,100,0.05,359981,3400286,35.645
628,N-stabu70,8,PL,100,0.1,358701,1612549,30.902
629,N-stabu70,1,PL,100,0.01,357849,3472582,27.722
630,N-stabu70,7,PL,10,0.01,359795,2673493,41.557
631,N-stabu70,6,PL,100,0.1,360631,2954638,38.132
632,N-stabu70,2,PL,10,0.1,358700,275351,40.543
633,N-stabu70,5,PL,10,0.9,358310,678597,45.301
634,N-stabu70,4,PL,100,0.1,359514,2863485,35.729
635,N-stabu70,2,PL,100,0.1,360864,3397375,28.107
636,N-stabu70,2,PL,100,0.001,348687,3309102,39.403
637,N-stabu70,10,PL,10,0.75,359321,3518711,28.837
638,N-stabu70,7,PL,100,0.01,357885,3464180,43.868
639,N-stabu70,1,PL,10,0.5,359113,3105329,42.997
640,N-stabu70,6,PL,10,0.1,358120,339402,45.574
641,N-stabu70,9,PL,10,0.75,358978,2477210,29.603
642,N-stabu70,6,PL,10,0.75,359089,1286080,45.618
643,N-stabu70,1,PL,100,0.001,349134,2883638,39.074
645,N-stabu70,9,PL,100,0.1,359703,3267976,37.566
646,N-stabu70,3,PL,10,0.5,359678,3355552,54.095
647,N-stabu70,5,PL,10,0.5,359896,127577,40.385
648,N-stabu70,7,PL,100,0.05,359153,3574746,27.491
649,N-stabu70,8,PL,10,0.75,358198,1781294,55.203
651,N-stabu70,4,PL,100,0.75,358911,1727620,27.734
652,N-stabu70,7,PL,100,0.75,359755,2190805,29.304
653,N-stabu70,9,PL,10,0.001,357423,3597392,52.372
654,N-stabu70,8,PL,100,0.05,358981,1506980,43.45
655,N-stabu70,4,PL,100,0.01,357863,3357029,39.115
656,N-stabu70,8,PL,10,0.5,359915,2737250,43.395
657,N-stabu70,7,PL,10,0.75,359290,2156650,45.765
659,N-stabu70,3,PL,100,0.1,359850,2169961,38.847
660,N-stabu70,1,PL,100,0.1,359687,3468221,40.077
662,N-stabu70,5,PL,1000,0.001,319270,3146211,23.403
663,N-stabu70,8,PL,100,0.001,348635,3460296,38.675
664,N-stabu70,6,PL,100,0.001,348552,3346553,35.378
665,N-stabu70,10,PL,100,0.05,358991,2772910,44.436
667,N-stabu70,5,PL,10,0.75,358303,1080347,43.017
668,N-stabu70,9,PL,100,0.5,357713,1544922,27.867
672,N-stabu70,2,PL,100,0.01,356748,3374446,34.145
673,N-stabu70,1,PL,100,0.9,360479,2392334,27.826
674,N-stabu70,6,PL,10,0.9,358893,2215607,40.628
675,N-stabu70,9,PL,10,0.9,358808,1859184,49.914
676,N-stabu70,6,PL,100,0.05,358941,2874777,37.473
678,N-stabu70,6,PL,100,0.01,357862,3369963,38.833
679,N-stabu70,7,PL,100,0.5,359944,2844167,24.515
680,N-stabu70,3,PL,100,0.001,349286,3515220,44.142
681,N-stabu70,4,PL,1000,0.01,348291,3409547,23.859
682,N-stabu70,1,PL,100,0.75,359846,3388436,37.954
683,N-stabu70,7,PL,100,0.9,360041,2962638,40.273
684,N-stabu70,7,PL,100,0.1,359133,3218044,46.452
685,N-stabu70,10,PL,100,0.01,357832,3340149,39.116
686,N-stabu70,3,PL,100,0.5,359830,857953,27.3
688,N-stabu70,7,PL,100,0.001,347820,3525708,44.165
689,N-stabu70,8,PL,100,0.75,360014,1815936,41.408
690,N-stabu70,10,PL,100,0.5,359861,3512575,51.984
691,N-stabu70,3,PL,100,0.05,359018,3534829,40.551
692,N-stabu70,10,PL,100,0.1,359082,1990674,52.42
693,N-stabu70,10,PL,100,0.75,358648,2603575,31.661
694,N-stabu70,6,PL,1000,0.001,320842,2926751,25.738
696,N-stabu70,7,PL,1000,0.001,324588,3562560,24.578
698,N-stabu70,7,PL,1000,0.01,348225,2907618,23.883
701,N-stabu70,6,PL,100,0.5,359512,1167228,38.531
702,N-stabu70,4,PL,1000,0.001,323009,3248681,24.985
703,N-stabu70,3,PL,100,0.75,360125,1099570,41.024
706,N-stabu70,8,PL,10,0.9,358997,2266872,53.849
707,N-stabu70,3,PL,1000,0.05,356565,3507708,27.556
710,N-stabu70,8,PL,1000,0.001,319898,3194826,25.554
711,N-stabu70,10,PL,1000,0.001,321852,3540751,26.473
713,N-stabu70,8,PL,100,0.5,358622,1869162,37.657
714,N-stabu70,1,PL,1000,0.001,323408,3492747,28.041
716,N-stabu70,9,PL,1000,0.01,348727,3138148,37.277
717,N-stabu70,2,PL,100,0.5,358465,2317754,40.201
719,N-stabu70,3,PL,100,0.9,359725,2308257,27.815
720,N-stabu70,5,PL,100,0.1,358576,3024074,40.56
722,N-stabu70,1,PL,1000,0.1,357816,3510556,26.453
723,N-stabu70,8,PL,1000,0.05,356621,3397969,25.642
724,N-stabu70,9,PL,1000,0.05,356899,3353370,29.649
725,N-stabu70,9,PL,100,0.75,360100,2364474,40.595
727,N-stabu70,9,PL,100,0.05,358951,1367941,46.966
729,N-stabu70,9,PL,100,0.9,359617,143358,40.236
733,N-stabu70,1,PL,1000,0.01,348057,3421635,25.856
735,N-stabu70,1,PL,1000,0.05,356521,3517286,34.085
740,N-stabu70,10,PL,100,0.9,359672,1555238,34.878
741,N-stabu70,7,PL,1000,0.1,357958,3473248,27.718
742,N-stabu70,6,PL,100,0.9,359706,3486663,49.919
744,N-stabu70,3,PL,1000,0.001,323644,3551213,47.941
746,N-stabu70,6,PL,1000,0.01,348576,3550243,34.287
747,N-stabu70,3,PL,1000,0.01,348300,3465312,25.101
749,N-stabu70,3,PL,1000,0.5,359091,3156409,25.933
750,N-stabu70,8,PL,100,0.9,359562,3185399,50.965
753,N-stabu70,4,PL,100,0.9,359706,3033293,51.68
756,N-stabu70,5,PL,100,0.9,360460,3080252,49.645
757,N-stabu70,10,PL,1000,0.05,356375,3317483,39.913
758,N-stabu70,2,PL,100,0.9,359795,378908,51.896
763,N-stabu70,2,PL,1000,0.5,359033,2622105,26.69
